product_id,product_name,category,brand,price,cost,stock_quantity,reorder_level,supplier,warehouse_location,last_restocked,units_sold_month,profit_margin,rating
PRD001,Wireless Headphones,Electronics,TechSound,99.99,45.00,150,25,TechSupply Co,Warehouse A,2024-01-10,85,54.99,4.5
PRD002,Coffee Maker,Appliances,BrewMaster,149.99,75.00,45,10,HomeGoods Inc,Warehouse B,2024-01-08,32,74.99,4.2
PRD003,Running Shoes,Sports,SpeedFit,129.99,60.00,200,30,SportSupply Ltd,Warehouse C,2024-01-12,120,69.99,4.7
PRD004,Smartphone Case,Electronics,ProtectPlus,24.99,8.00,500,50,TechSupply Co,Warehouse A,2024-01-15,245,16.99,4.1
PRD005,Yoga Mat,Sports,FlexFit,39.99,15.00,75,15,SportSupply Ltd,Warehouse C,2024-01-09,48,24.99,4.6
PRD006,Bluetooth Speaker,Electronics,SoundWave,79.99,35.00,120,20,TechSupply Co,Warehouse A,2024-01-11,67,44.99,4.3
PRD007,Kitchen Knife Set,Home & Garden,ChefPro,89.99,40.00,30,8,HomeGoods Inc,Warehouse B,2024-01-07,18,49.99,4.8
PRD008,Laptop Stand,Office,DeskMate,49.99,20.00,85,15,OfficeSupply Co,Warehouse D,2024-01-13,42,29.99,4.0
PRD009,Water Bottle,Sports,HydroFlow,19.99,7.00,300,40,SportSupply Ltd,Warehouse C,2024-01-14,156,12.99,4.4
PRD010,LED Desk Lamp,Office,BrightWork,69.99,30.00,60,12,OfficeSupply Co,Warehouse D,2024-01-06,28,39.99,4.2
PRD011,Fitness Tracker,Electronics,HealthTech,199.99,90.00,80,15,TechSupply Co,Warehouse A,2024-01-12,45,109.99,4.6
PRD012,Ceramic Mug,Home & Garden,CozyCup,14.99,5.00,250,35,HomeGoods Inc,Warehouse B,2024-01-16,134,9.99,4.1
PRD013,Wireless Mouse,Electronics,ClickTech,34.99,15.00,180,25,TechSupply Co,Warehouse A,2024-01-11,89,19.99,4.3
PRD014,Resistance Bands,Sports,FlexFit,29.99,12.00,95,18,SportSupply Ltd,Warehouse C,2024-01-10,52,17.99,4.5
PRD015,Air Purifier,Appliances,CleanAir,249.99,120.00,25,5,HomeGoods Inc,Warehouse B,2024-01-05,12,129.99,4.7
PRD016,Ergonomic Chair,Office,ComfortSit,299.99,150.00,35,8,OfficeSupply Co,Warehouse D,2024-01-08,15,149.99,4.8
PRD017,Phone Charger,Electronics,PowerPlus,19.99,6.00,400,60,TechSupply Co,Warehouse A,2024-01-17,198,13.99,4.0
PRD018,Cooking Pan Set,Home & Garden,ChefPro,119.99,55.00,40,10,HomeGoods Inc,Warehouse B,2024-01-09,22,64.99,4.4
PRD019,Gaming Keyboard,Electronics,GameTech,89.99,40.00,70,12,TechSupply Co,Warehouse A,2024-01-13,35,49.99,4.6
PRD020,Dumbbells Set,Sports,IronFit,159.99,75.00,20,5,SportSupply Ltd,Warehouse C,2024-01-06,8,84.99,4.9
PRD021,Desk Organizer,Office,DeskMate,24.99,10.00,120,20,OfficeSupply Co,Warehouse D,2024-01-14,65,14.99,3.9
PRD022,Smart Watch,Electronics,TimeSync,299.99,140.00,55,10,TechSupply Co,Warehouse A,2024-01-11,28,159.99,4.5
PRD023,Garden Hose,Home & Garden,GreenGrow,34.99,18.00,65,12,HomeGoods Inc,Warehouse B,2024-01-12,31,16.99,4.2
PRD024,Protein Shaker,Sports,NutriBlend,16.99,6.50,180,30,SportSupply Ltd,Warehouse C,2024-01-15,98,10.49,4.1
PRD025,Monitor Stand,Office,ViewPro,79.99,35.00,45,8,OfficeSupply Co,Warehouse D,2024-01-07,21,44.99,4.3
PRD026,Tablet Case,Electronics,ProtectPlus,39.99,15.00,160,25,TechSupply Co,Warehouse A,2024-01-16,78,24.99,4.2
PRD027,Blender,Appliances,BlendMaster,89.99,42.00,35,8,HomeGoods Inc,Warehouse B,2024-01-10,19,47.99,4.6
PRD028,Tennis Racket,Sports,AceSport,149.99,70.00,25,6,SportSupply Ltd,Warehouse C,2024-01-08,12,79.99,4.7
PRD029,Webcam,Electronics,ViewClear,69.99,30.00,90,15,TechSupply Co,Warehouse A,2024-01-13,48,39.99,4.4
PRD030,Plant Pot Set,Home & Garden,GreenGrow,29.99,12.00,100,18,HomeGoods Inc,Warehouse B,2024-01-14,56,17.99,4.0
